nn10.py, same as nn7.py, but add gender/age info
Tuning process for lr=2e-05
----------------------------------------------------------
lr=2e-05, lamb=0, num_epoch=100
Epoch: 1 	Training Cost: 13280.255103	 Valid Acc: 0.663279706463449 	Best Valid Acc: 0.663280
Epoch: 2 	Training Cost: 11798.968951	 Valid Acc: 0.6782387806943269 	Best Valid Acc: 0.678239
Epoch: 3 	Training Cost: 11540.578625	 Valid Acc: 0.6802145074795372 	Best Valid Acc: 0.680215
Epoch: 4 	Training Cost: 11464.750047	 Valid Acc: 0.683460344340954 	Best Valid Acc: 0.683460
Epoch: 5 	Training Cost: 11429.701894	 Valid Acc: 0.6826136042901496 	Best Valid Acc: 0.683460
Epoch: 6 	Training Cost: 11406.234754	 Valid Acc: 0.6824724809483489 	Best Valid Acc: 0.683460
Epoch: 7 	Training Cost: 11379.404203	 Valid Acc: 0.6820491109229466 	Best Valid Acc: 0.683460
Epoch: 8 	Training Cost: 11328.388760	 Valid Acc: 0.6823313576065482 	Best Valid Acc: 0.683460
Epoch: 9 	Training Cost: 11226.407197	 Valid Acc: 0.6823313576065482 	Best Valid Acc: 0.683460
Epoch: 10 	Training Cost: 11082.988928	 Valid Acc: 0.6852949477843635 	Best Valid Acc: 0.685295
Epoch: 11 	Training Cost: 10937.423415	 Valid Acc: 0.6920688681907987 	Best Valid Acc: 0.692069
Epoch: 12 	Training Cost: 10797.310066	 Valid Acc: 0.6947502116850127 	Best Valid Acc: 0.694750
Epoch: 13 	Training Cost: 10659.831229	 Valid Acc: 0.6968670618120237 	Best Valid Acc: 0.696867
Epoch: 14 	Training Cost: 10533.996748	 Valid Acc: 0.7015241320914479 	Best Valid Acc: 0.701524
Epoch: 15 	Training Cost: 10428.926253	 Valid Acc: 0.7022297488004516 	Best Valid Acc: 0.702230
Epoch: 16 	Training Cost: 10343.584557	 Valid Acc: 0.7020886254586508 	Best Valid Acc: 0.702230
Epoch: 17 	Training Cost: 10273.348337	 Valid Acc: 0.7034998588766582 	Best Valid Acc: 0.703500
Epoch: 18 	Training Cost: 10214.414279	 Valid Acc: 0.7060400790290714 	Best Valid Acc: 0.706040
Epoch: 19 	Training Cost: 10164.546983	 Valid Acc: 0.7075924357888794 	Best Valid Acc: 0.707592
Epoch: 20 	Training Cost: 10121.831979	 Valid Acc: 0.7080158058142817 	Best Valid Acc: 0.708016
Epoch: 21 	Training Cost: 10084.651429	 Valid Acc: 0.7088625458650861 	Best Valid Acc: 0.708863
Epoch: 22 	Training Cost: 10051.560311	 Valid Acc: 0.7087214225232854 	Best Valid Acc: 0.708863
Epoch: 23 	Training Cost: 10021.402133	 Valid Acc: 0.7106971493084956 	Best Valid Acc: 0.710697
Epoch: 24 	Training Cost: 9993.530565	 Valid Acc: 0.712108382726503 	Best Valid Acc: 0.712108
Epoch: 25 	Training Cost: 9967.568319	 Valid Acc: 0.7122495060683037 	Best Valid Acc: 0.712250
Epoch: 26 	Training Cost: 9943.559301	 Valid Acc: 0.7125317527519052 	Best Valid Acc: 0.712532
Epoch: 27 	Training Cost: 9920.948735	 Valid Acc: 0.7139429861699125 	Best Valid Acc: 0.713943
Epoch: 28 	Training Cost: 9899.697277	 Valid Acc: 0.7138018628281118 	Best Valid Acc: 0.713943
Epoch: 29 	Training Cost: 9879.603785	 Valid Acc: 0.7133784928027096 	Best Valid Acc: 0.713943
Epoch: 30 	Training Cost: 9860.197517	 Valid Acc: 0.7143663561953147 	Best Valid Acc: 0.714366
Epoch: 31 	Training Cost: 9841.666867	 Valid Acc: 0.7153542195879199 	Best Valid Acc: 0.715354
Epoch: 32 	Training Cost: 9823.788256	 Valid Acc: 0.7174710697149308 	Best Valid Acc: 0.717471
Epoch: 33 	Training Cost: 9806.332237	 Valid Acc: 0.7177533163985323 	Best Valid Acc: 0.717753
Epoch: 34 	Training Cost: 9789.332390	 Valid Acc: 0.7178944397403331 	Best Valid Acc: 0.717894
Epoch: 35 	Training Cost: 9772.834164	 Valid Acc: 0.7186000564493367 	Best Valid Acc: 0.718600
Epoch: 36 	Training Cost: 9756.972346	 Valid Acc: 0.7183178097657352 	Best Valid Acc: 0.718600
