nn5.py, two encoders + one decoder
Tuning process for lr=1e-05
----------------------------------------------------------
lr=1e-05, lamb=0, num_epoch=250
Epoch: 1 	Training Cost: 13877.014106	 Valid Acc: 0.6277166243296641 	Best Valid Acc: 0.627717
Epoch: 2 	Training Cost: 12976.003782	 Valid Acc: 0.6562235393734124 	Best Valid Acc: 0.656224
Epoch: 3 	Training Cost: 12119.044286	 Valid Acc: 0.6707592435788879 	Best Valid Acc: 0.670759
Epoch: 4 	Training Cost: 11744.508237	 Valid Acc: 0.6809201241885408 	Best Valid Acc: 0.680920
Epoch: 5 	Training Cost: 11585.038299	 Valid Acc: 0.6824724809483489 	Best Valid Acc: 0.682472
Epoch: 6 	Training Cost: 11498.853374	 Valid Acc: 0.681343494213943 	Best Valid Acc: 0.682472
Epoch: 7 	Training Cost: 11445.908644	 Valid Acc: 0.6820491109229466 	Best Valid Acc: 0.682472
Epoch: 8 	Training Cost: 11410.835067	 Valid Acc: 0.6830369743155518 	Best Valid Acc: 0.683037
Epoch: 9 	Training Cost: 11385.951560	 Valid Acc: 0.6831780976573525 	Best Valid Acc: 0.683178
Epoch: 10 	Training Cost: 11366.960631	 Valid Acc: 0.6831780976573525 	Best Valid Acc: 0.683178
Epoch: 11 	Training Cost: 11351.332074	 Valid Acc: 0.6833192209991532 	Best Valid Acc: 0.683319
Epoch: 12 	Training Cost: 11337.324028	 Valid Acc: 0.6833192209991532 	Best Valid Acc: 0.683319
Epoch: 13 	Training Cost: 11323.836260	 Valid Acc: 0.6845893310753599 	Best Valid Acc: 0.684589
Epoch: 14 	Training Cost: 11310.058770	 Valid Acc: 0.6852949477843635 	Best Valid Acc: 0.685295
Epoch: 15 	Training Cost: 11295.145978	 Valid Acc: 0.6854360711261642 	Best Valid Acc: 0.685436
Epoch: 16 	Training Cost: 11278.130130	 Valid Acc: 0.6847304544171606 	Best Valid Acc: 0.685436
Epoch: 17 	Training Cost: 11258.047301	 Valid Acc: 0.6837425910245555 	Best Valid Acc: 0.685436
Epoch: 18 	Training Cost: 11233.393167	 Valid Acc: 0.683460344340954 	Best Valid Acc: 0.685436
Epoch: 19 	Training Cost: 11202.265323	 Valid Acc: 0.6840248377081569 	Best Valid Acc: 0.685436
Epoch: 20 	Training Cost: 11163.899271	 Valid Acc: 0.6848715777589613 	Best Valid Acc: 0.685436
Epoch: 21 	Training Cost: 11119.045531	 Valid Acc: 0.6852949477843635 	Best Valid Acc: 0.685436
Epoch: 22 	Training Cost: 11068.056146	 Valid Acc: 0.6858594411515665 	Best Valid Acc: 0.685859
Epoch: 23 	Training Cost: 11012.177678	 Valid Acc: 0.6886819079875811 	Best Valid Acc: 0.688682
Epoch: 24 	Training Cost: 10953.290904	 Valid Acc: 0.6909398814563928 	Best Valid Acc: 0.690940
Epoch: 25 	Training Cost: 10893.090105	 Valid Acc: 0.6926333615580017 	Best Valid Acc: 0.692633
Epoch: 26 	Training Cost: 10832.723806	 Valid Acc: 0.694609088343212 	Best Valid Acc: 0.694609
Epoch: 27 	Training Cost: 10772.972687	 Valid Acc: 0.69616144510302 	Best Valid Acc: 0.696161
Epoch: 28 	Training Cost: 10714.526870	 Valid Acc: 0.6974315551792266 	Best Valid Acc: 0.697432
Epoch: 29 	Training Cost: 10658.388832	 Valid Acc: 0.698278295230031 	Best Valid Acc: 0.698278
Epoch: 30 	Training Cost: 10605.410767	 Valid Acc: 0.6987016652554332 	Best Valid Acc: 0.698702
Epoch: 31 	Training Cost: 10555.467108	 Valid Acc: 0.6985605419136325 	Best Valid Acc: 0.698702
Epoch: 32 	Training Cost: 10509.243573	 Valid Acc: 0.7008185153824442 	Best Valid Acc: 0.700819
Epoch: 33 	Training Cost: 10466.436290	 Valid Acc: 0.7034998588766582 	Best Valid Acc: 0.703500
