nn9.py, same as nn7.py, but add gender/age info
Tuning process for lr=2e-05
----------------------------------------------------------
lr=2e-05, lamb=0, num_epoch=50
Epoch: 1 	Training Cost: 13377.130933	 Valid Acc: 0.6687835167936776 	Best Valid Acc: 0.668784
Epoch: 2 	Training Cost: 11830.428554	 Valid Acc: 0.6782387806943269 	Best Valid Acc: 0.678239
Epoch: 3 	Training Cost: 11535.080851	 Valid Acc: 0.6814846175557437 	Best Valid Acc: 0.681485
Epoch: 4 	Training Cost: 11449.644225	 Valid Acc: 0.6824724809483489 	Best Valid Acc: 0.682472
Epoch: 5 	Training Cost: 11408.253169	 Valid Acc: 0.6826136042901496 	Best Valid Acc: 0.682614
Epoch: 6 	Training Cost: 11377.334615	 Valid Acc: 0.6821902342647473 	Best Valid Acc: 0.682614
Epoch: 7 	Training Cost: 11339.696534	 Valid Acc: 0.682895850973751 	Best Valid Acc: 0.682896
Epoch: 8 	Training Cost: 11271.598639	 Valid Acc: 0.6847304544171606 	Best Valid Acc: 0.684730
Epoch: 9 	Training Cost: 11156.113808	 Valid Acc: 0.6851538244425628 	Best Valid Acc: 0.685154
Epoch: 10 	Training Cost: 11018.671961	 Valid Acc: 0.6900931414055885 	Best Valid Acc: 0.690093
Epoch: 11 	Training Cost: 10874.205693	 Valid Acc: 0.6964436917866215 	Best Valid Acc: 0.696444
Epoch: 12 	Training Cost: 10727.981602	 Valid Acc: 0.6998306519898391 	Best Valid Acc: 0.699831
Epoch: 13 	Training Cost: 10590.847595	 Valid Acc: 0.6992661586226362 	Best Valid Acc: 0.699831
Epoch: 14 	Training Cost: 10473.452184	 Valid Acc: 0.7016652554332486 	Best Valid Acc: 0.701665
Epoch: 15 	Training Cost: 10378.039581	 Valid Acc: 0.7042054755856618 	Best Valid Acc: 0.704205
Epoch: 16 	Training Cost: 10299.909801	 Valid Acc: 0.7046288456110641 	Best Valid Acc: 0.704629
Epoch: 17 	Training Cost: 10234.136829	 Valid Acc: 0.7046288456110641 	Best Valid Acc: 0.704629
Epoch: 18 	Training Cost: 10178.135615	 Valid Acc: 0.7042054755856618 	Best Valid Acc: 0.704629
Epoch: 19 	Training Cost: 10130.220026	 Valid Acc: 0.7044877222692634 	Best Valid Acc: 0.704629
Epoch: 20 	Training Cost: 10088.664447	 Valid Acc: 0.7071690657634773 	Best Valid Acc: 0.707169
Epoch: 21 	Training Cost: 10052.100260	 Valid Acc: 0.707310189105278 	Best Valid Acc: 0.707310
Epoch: 22 	Training Cost: 10019.138951	 Valid Acc: 0.7082980524978831 	Best Valid Acc: 0.708298
Epoch: 23 	Training Cost: 9989.048379	 Valid Acc: 0.7095681625740897 	Best Valid Acc: 0.709568
Epoch: 24 	Training Cost: 9961.180509	 Valid Acc: 0.7112616426756986 	Best Valid Acc: 0.711262
Epoch: 25 	Training Cost: 9935.065625	 Valid Acc: 0.7125317527519052 	Best Valid Acc: 0.712532
Epoch: 26 	Training Cost: 9910.379697	 Valid Acc: 0.713660739486311 	Best Valid Acc: 0.713661
Epoch: 27 	Training Cost: 9887.004303	 Valid Acc: 0.7145074795371155 	Best Valid Acc: 0.714507
Epoch: 28 	Training Cost: 9864.966935	 Valid Acc: 0.7146486028789162 	Best Valid Acc: 0.714649
Epoch: 29 	Training Cost: 9844.356620	 Valid Acc: 0.7145074795371155 	Best Valid Acc: 0.714649
Epoch: 30 	Training Cost: 9824.921938	 Valid Acc: 0.714225232853514 	Best Valid Acc: 0.714649
Epoch: 31 	Training Cost: 9806.259211	 Valid Acc: 0.7152130962461191 	Best Valid Acc: 0.715213
Epoch: 32 	Training Cost: 9788.235774	 Valid Acc: 0.7152130962461191 	Best Valid Acc: 0.715213
Epoch: 33 	Training Cost: 9770.788458	 Valid Acc: 0.7146486028789162 	Best Valid Acc: 0.715213
Epoch: 34 	Training Cost: 9754.173895	 Valid Acc: 0.7145074795371155 	Best Valid Acc: 0.715213
Epoch: 35 	Training Cost: 9738.528382	 Valid Acc: 0.7139429861699125 	Best Valid Acc: 0.715213
