nn4.py, Model=900, 256, 128, 64
Tuning process for lr=3e-05
----------------------------------------------------------
lr=3e-05, lamb=0, num_epoch=200
Epoch: 1 	Training Cost: 12862.906699	 Valid Acc: 0.6752751905165114 	Best Valid Acc: 0.675275
Epoch: 2 	Training Cost: 11629.642252	 Valid Acc: 0.6827547276319503 	Best Valid Acc: 0.682755
Epoch: 3 	Training Cost: 11494.663892	 Valid Acc: 0.6833192209991532 	Best Valid Acc: 0.683319
Epoch: 4 	Training Cost: 11459.837942	 Valid Acc: 0.6824724809483489 	Best Valid Acc: 0.683319
Epoch: 5 	Training Cost: 11442.492746	 Valid Acc: 0.6824724809483489 	Best Valid Acc: 0.683319
Epoch: 6 	Training Cost: 11344.482936	 Valid Acc: 0.6838837143663562 	Best Valid Acc: 0.683884
Epoch: 7 	Training Cost: 11138.452537	 Valid Acc: 0.6804967541631386 	Best Valid Acc: 0.683884
Epoch: 8 	Training Cost: 10991.163888	 Valid Acc: 0.6852949477843635 	Best Valid Acc: 0.685295
Epoch: 9 	Training Cost: 10836.043398	 Valid Acc: 0.6922099915325995 	Best Valid Acc: 0.692210
Epoch: 10 	Training Cost: 10645.744355	 Valid Acc: 0.7006773920406435 	Best Valid Acc: 0.700677
Epoch: 11 	Training Cost: 10481.191449	 Valid Acc: 0.7032176121930568 	Best Valid Acc: 0.703218
Epoch: 12 	Training Cost: 10365.815997	 Valid Acc: 0.7074513124470787 	Best Valid Acc: 0.707451
Epoch: 13 	Training Cost: 10283.953959	 Valid Acc: 0.7087214225232854 	Best Valid Acc: 0.708721
Epoch: 14 	Training Cost: 10221.811765	 Valid Acc: 0.709427039232289 	Best Valid Acc: 0.709427
Epoch: 15 	Training Cost: 10171.515737	 Valid Acc: 0.7109793959920971 	Best Valid Acc: 0.710979
Epoch: 16 	Training Cost: 10129.967710	 Valid Acc: 0.7116850127011007 	Best Valid Acc: 0.711685
Epoch: 17 	Training Cost: 10094.689308	 Valid Acc: 0.7139429861699125 	Best Valid Acc: 0.713943
Epoch: 18 	Training Cost: 10064.579853	 Valid Acc: 0.7138018628281118 	Best Valid Acc: 0.713943
Epoch: 19 	Training Cost: 10038.138260	 Valid Acc: 0.7138018628281118 	Best Valid Acc: 0.713943
Epoch: 20 	Training Cost: 10014.705116	 Valid Acc: 0.7128139994355066 	Best Valid Acc: 0.713943
Epoch: 21 	Training Cost: 9993.349721	 Valid Acc: 0.7133784928027096 	Best Valid Acc: 0.713943
Epoch: 22 	Training Cost: 9973.918705	 Valid Acc: 0.7132373694609089 	Best Valid Acc: 0.713943
Epoch: 23 	Training Cost: 9955.394679	 Valid Acc: 0.713096246119108 	Best Valid Acc: 0.713943
Epoch: 24 	Training Cost: 9937.689340	 Valid Acc: 0.7132373694609089 	Best Valid Acc: 0.713943
Epoch: 25 	Training Cost: 9921.019467	 Valid Acc: 0.7133784928027096 	Best Valid Acc: 0.713943
Epoch: 26 	Training Cost: 9904.294267	 Valid Acc: 0.713660739486311 	Best Valid Acc: 0.713943
Epoch: 27 	Training Cost: 9888.030564	 Valid Acc: 0.7129551227773073 	Best Valid Acc: 0.713943
Epoch: 28 	Training Cost: 9872.019368	 Valid Acc: 0.7146486028789162 	Best Valid Acc: 0.714649
